"treatment","site","radius","uplanddeciduous","uplandshrubs","water","nonforest","lowlanddeciduous","uplandmixedwood","lowlandmixedwood","uplandspruce","lowlandspruce","pine","tamarack","openwetland","cutblocks","pipeline","transmissionline","wellsite","blockfeatures","road","trail","seismic_3d","seismicline"
"Pre",50,250,31.43326003,0,0,16.67793303,0,0,0,8.124820222,43.76342892,0,0,0,11.36706063,0,0,4.496327409,0,2.311945717,0.22734709,0,0.180978603
"Pre",51,250,57.53604835,0,0,0,0,0,0,10.19063318,24.22619208,0,0,8.046772823,32.244564,0,0,0,0,1.989378325,0,0,1.142864579
"Pre",52,250,32.57308657,0,0,0,0,0,0,0,49.52967197,17.89678951,0,0,26.46361247,0,0,0,0,2.364737558,0,0,0
"Pre",53,250,51.27003939,0,0,0,0,0.263838508,0,0,36.40420604,12.06153202,0,0,0,0,0,0,0,0,2.867559351,0,0
"Pre",54,250,16.10925545,0,0,0,0,0,0,0,75.58829987,8.30203131,0,0,0,0,0,0,0,0,2.330973134,0,1.077718524
"Pre",55,250,0,0,0,0,0,0.492754458,0,0,52.85563095,46.65120174,0,0,0,0,0,0,0,0,2.827353169,0,0.001327341
"Pre",56,250,92.29433593,0,0,0,0,0,0,0,0,0,0,7.705334318,62.48731219,0,0,0,0,0,2.787126596,0,0
"Pre",57,250,47.31685634,0,0,0,0,0,0,0,52.68273739,0,0,0,0,0,0,0,0,0,1.70123511,0,0.411912098
"Pre",58,250,53.64096474,0,0,14.96355387,0,0,0,10.57079699,17.46440536,3.359901653,0,0,0,0,4.009701447,0,2.353246838,2.58360771,0,0,1.369699064
"Pre",59,250,70.4802419,0,0,17.26100074,0,0,0,12.25830023,0,0,0,0,0,17.01989782,0,0,0,3.608955184,0,6.637619199,0
"Pre",60,250,42.27330673,0,0.964548608,35.09174566,0,8.133065071,0,3.507634902,10.02933867,0,0,0,0,2.588330603,0,4.624005061,23.20009603,2.610776634,3.176987226,0,0.103562739
"Pre",61,250,8.658674437,0.097261769,0,11.7153778,0,0,0,72.51762353,7.010538022,0,0,0,40.82288234,2.463743452,0,0,0,4.178087237,0.317896773,0,0.239112768
"Pre",62,250,0,0,0,6.329749469,0,0,0,62.47613312,5.375806675,6.486462206,0,19.33139923,0.210495082,0,0,0,0,2.133092376,0,0,0.957646327
"Pre",63,250,53.71517936,0,0,20.18485665,0,0,4.387759166,1.403808426,20.30801885,0,0,0,0,10.87633464,0,0.454465811,0,2.327439352,0,0.509315027,0.602063933
"Pre",1,500,0,0,0,6.16821424,0,0,0,5.974286333,36.89871938,29.44505104,0,21.5135391,0,0,0,0,0,1.203568044,0,6.935488601,0
"Pre",2,500,0,0,0,14.28455509,0,9.208341588,0,0,44.62052158,19.6281835,9.666951649,2.59124714,0,5.208525296,0,0,0,1.047538895,0.391877858,6.506910404,1.408451796
"Pre",3,500,18.06439713,0,0,9.726375498,0,27.66891734,0.006153897,0.977576918,26.63044488,7.192271733,9.733684451,0,0,3.484170817,0,6.215701515,0,0,1.524676266,2.531707626,6.118063535
"Pre",4,500,0.441125532,0,0.287002647,9.275236938,0,0,3.826816337,0,33.35792635,33.36556359,4.792442377,14.65369531,4.923757752,4.670054506,0,2.05807698,0,0,1.622213314,0,1.739578238
"Pre",5,500,73.2856946,0,0,0,0,13.68826265,0,0.864648577,7.540958183,0,0,4.62025877,0,0,0,0,0,1.267061703,0,0,1.327272268
"Pre",6,500,0,0,0,1.720073129,0,0.610045951,0.17105573,0,4.068708292,86.91766048,3.795104955,2.717162057,0,3.461965891,0,0,0,1.383909885,0.542807015,4.607335596,0
"Pre",7,500,1.928024844,0,0,3.836425272,0,0,0,0,18.23448666,65.47864502,0.16369876,10.35854653,0,3.893642356,0,1.193583796,0,1.21907975,1.2461507,4.486843687,0.001871912
"Pre",8,500,22.09141668,0,0,10.72962823,0,2.103150145,0,1.499715044,37.11261584,17.43858041,0,9.024693042,0,5.987934283,0,1.271920791,0,1.057326863,1.405778205,3.388704156,1.992111749
"Pre",9,500,0,0,0,15.71053752,0,0,0,0,35.42226273,38.3768708,0,10.49014494,0,2.923826788,0,0,14.48909786,1.954984285,0,0.159742055,0
"Pre",10,500,15.61949502,0,0,19.51834425,0,0,0,8.005047997,31.53062174,23.1189244,2.207352362,0,0,8.955444144,0,0,0.910138364,1.723814933,0.315860888,1.087846646,1.806516325
"Pre",12,500,34.3684941,0,0,0,0,0,0,30.4955559,25.11455317,10.02123762,0,0,0,5.627931611,0,0,0,1.25743963,0,4.952126528,3.119026484
